"outcome.test.score","treatment","school","is.female","mother.attended.secondary.school","father.attened.secondary.school","failed.at.least.one.school.year","family.receives.cash.transfer","has.computer.with.internet.at.home","is.unemployed","has.some.form.of.income","saves.money.for.future.purchases","intention.to.save.index","makes.list.of.expenses.every.month","negotiates.prices.or.payment.methods","financial.autonomy.index"
61.576587677002,1,17004950,0,1,1,0,0,0,1,1,0,53,0,1,31
56.0618705749512,1,35004492,0,0,0,0,0,0,0,1,0,54,0,0,41
51.3440628051758,0,33046522,0,0,1,1,0,1,0,1,0,28,0,1,43
72.1037063598633,0,53006739,0,0,1,0,0,0,0,1,0,51,0,0,31
66.3820190429688,0,33012407,1,0,0,0,1,1,1,1,1,45,0,1,62
60.521785736084,1,35901192,0,0,1,0,0,1,0,1,0,93,0,1,58
54.7573394775391,1,35914757,0,0,0,0,0,1,0,0,0,51,0,1,52
64.8535232543945,1,35907397,1,0,0,0,0,1,0,1,1,34,1,1,NA
33.4176368713379,0,33060738,0,1,1,1,0,1,0,1,0,NA,0,1,NA
65.9376754760742,1,35903073,0,0,0,1,0,0,0,1,0,32,0,0,20
76.0365600585938,1,33003858,NA,NA,NA,NA,NA,NA,1,1,1,63,1,1,79
51.9441146850586,0,35012142,NA,NA,NA,NA,NA,NA,0,0,0,30,0,1,65
92.6150665283203,0,23071095,0,0,0,1,1,0,1,1,NA,69,NA,1,69
70.5314559936523,1,35018089,0,1,1,1,0,0,1,1,0,84,0,1,62
63.1661109924316,0,33011427,0,0,0,0,1,1,1,1,0,73,0,1,54
80.8020324707031,1,35001016,0,NA,NA,1,0,0,0,1,0,69,0,1,12
26.0005760192871,1,33058750,0,0,1,0,1,0,0,1,0,74,0,1,54
67.3051452636719,0,23077883,0,1,1,0,1,1,0,0,0,26,0,1,43
37.3735504150391,0,31069469,0,1,0,0,1,0,1,1,0,49,0,1,50
41.6012992858887,1,35018089,0,0,0,1,0,0,1,1,0,46,0,1,60
34.3300094604492,0,53011597,0,0,0,1,0,NA,0,1,1,79,0,1,58
73.8129348754883,0,33032360,0,0,0,0,1,1,0,1,0,12,0,0,8
60.4025802612305,0,23072374,0,0,0,1,1,1,0,1,0,44,0,1,54
33.2172775268555,0,33028109,0,0,0,1,0,1,0,1,0,24,0,0,20
34.1329193115234,0,35008199,0,1,1,1,0,0,0,0,0,53,0,1,50
43.0098762512207,0,35008576,0,0,0,0,0,1,1,1,0,NA,0,1,33
57.0245361328125,0,23265795,1,1,1,0,0,1,0,0,0,57,0,1,62
77.7407684326172,1,33012083,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,1,62
74.9259948730469,0,23264853,0,1,1,0,0,0,0,1,0,18,0,1,NA
49.5488548278809,1,35916985,0,0,0,1,0,1,1,1,0,NA,0,1,NA
63.6299247741699,1,35037242,0,NA,0,0,0,0,0,1,0,38,0,1,67
86.6318588256836,1,35014266,0,0,1,0,0,0,0,0,0,42,0,1,62
68.0800399780273,1,35007638,0,0,0,1,1,NA,1,1,1,69,0,1,52
65.4729156494141,1,33077100,1,1,1,0,0,1,0,0,0,50,0,0,58
55.6162414550781,1,23320214,0,0,0,0,1,1,0,NA,0,NA,0,1,75
75.7127990722656,0,17033993,1,0,0,0,0,1,0,1,0,50,0,0,27
61.2697944641113,1,33018910,1,0,0,1,1,1,0,1,0,79,0,1,88
56.1803436279297,0,33014760,1,0,0,1,1,1,0,0,0,76,0,0,71
39.402458190918,0,33050554,1,0,0,1,1,1,0,1,0,37,0,1,37
60.0558471679688,0,33074186,1,0,0,0,0,0,1,1,0,77,1,1,86
88.3543395996094,1,35011782,0,1,1,0,0,0,0,0,0,NA,1,1,NA
34.7269058227539,1,23085193,0,0,0,0,0,1,1,1,NA,46,NA,1,60
60.2711753845215,1,35008312,1,0,0,0,0,0,0,1,0,NA,0,1,NA
37.3627128601074,0,17050715,1,0,0,1,1,1,0,1,0,25,1,1,54
62.8575897216797,1,23320214,1,1,1,0,1,1,0,1,0,48,0,1,29
72.643424987793,1,33027137,1,1,1,0,0,0,0,1,0,67,0,1,75
73.9815521240234,0,35019549,0,0,0,0,0,0,0,1,0,32,0,0,31
67.9055023193359,1,35905148,0,0,0,1,0,0,0,0,0,58,0,1,73
65.8277969360352,1,35000673,1,0,1,1,0,NA,0,1,0,56,0,1,24
52.5914688110352,1,35042195,1,1,0,0,0,0,0,1,0,73,0,1,75
50.6518402099609,1,35911343,0,1,1,1,0,0,0,0,0,73,0,1,37
49.3260917663574,0,23163330,1,1,0,0,1,1,0,0,0,60,0,1,52
81.7556533813477,0,31069191,1,1,1,0,0,1,0,0,0,70,0,1,73
56.9208755493164,0,17007500,1,1,1,0,0,1,0,1,0,69,0,1,67
65.3722457885742,0,17035287,1,1,0,1,1,1,0,0,0,85,0,1,84
55.3688125610352,0,53006739,1,0,1,0,1,0,0,1,0,60,0,1,54
54.0814819335938,1,53008790,1,0,0,0,1,1,0,1,0,NA,0,1,54
98.8766784667969,1,33005362,1,0,0,0,0,1,1,1,0,-4,0,0,71
67.5307769775391,0,23163402,1,0,0,0,1,0,0,0,0,NA,0,1,NA
45.9183006286621,1,23061499,0,0,0,1,0,1,1,1,0,48,0,1,43
80.1982269287109,0,23083921,1,0,0,0,1,1,1,1,0,58,1,0,58
77.9544906616211,0,35908915,1,1,1,0,0,0,0,0,0,54,0,1,58
82.2002716064453,1,35014072,1,1,0,0,0,0,0,0,0,88,0,1,NA
63.0711441040039,1,35916985,0,0,0,0,1,1,1,1,0,65,0,1,31
67.543083190918,0,33098808,1,0,0,0,0,1,0,1,0,66,1,1,67
49.7704048156738,1,17000386,0,1,1,1,0,1,1,1,NA,NA,0,0,16
31.2234840393066,1,33120692,1,1,1,1,0,1,0,0,1,19,0,1,67
59.6136627197266,1,35012300,1,0,0,0,1,1,1,1,0,23,0,1,NA
78.8225936889648,1,31330566,1,1,0,0,0,1,1,1,0,60,0,1,39
65.0637512207031,1,33156883,0,0,0,1,0,1,1,1,1,53,0,1,79
54.5617599487305,1,33004226,1,1,1,1,1,0,1,0,0,NA,0,1,39
41.2237167358398,1,23163410,0,NA,0,1,1,1,0,1,0,69,0,1,39
67.5820541381836,0,33028583,1,0,0,0,1,1,0,0,0,90,0,1,77
62.8244514465332,1,17052050,1,0,0,0,1,1,1,1,0,NA,0,1,NA
67.6382827758789,1,35046772,0,0,0,0,1,1,1,1,1,17,0,1,37
40.3814277648926,1,23036010,0,0,0,1,1,0,0,1,0,44,1,1,52
60.8614082336426,0,35019720,0,1,1,1,0,0,1,1,0,38,0,1,58
67.4779357910156,1,53004981,0,1,0,0,0,1,0,1,0,36,0,0,43
49.6346015930176,1,17050294,0,1,1,1,0,0,1,1,0,38,0,1,-5
47.5693740844727,0,33014760,0,1,0,0,0,1,0,1,1,58,0,1,48
36.0909652709961,0,35019446,0,1,0,0,0,0,1,1,0,45,0,1,52
60.3504981994629,1,23070382,0,1,1,1,1,0,0,1,0,40,0,1,52
69.9405517578125,1,33045569,0,0,1,1,0,1,0,1,1,58,0,1,65
65.3041839599609,1,35925073,NA,NA,NA,NA,NA,NA,0,1,0,42,0,1,50
65.4239273071289,1,53068181,1,0,0,0,0,1,1,1,1,78,0,1,67
63.5130958557129,0,35019720,1,0,1,0,0,0,0,0,0,34,0,1,31
62.9486999511719,1,35925073,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
92.1266937255859,1,33136513,1,0,0,0,0,0,0,0,0,40,0,1,52
62.3656539916992,1,23264063,0,1,1,1,1,1,0,0,0,41,0,1,46
83.3511734008789,1,35011149,0,1,1,0,0,0,1,1,0,58,0,1,50
52.4887161254883,1,33051879,0,1,1,1,0,1,0,1,0,77,0,1,65
63.7759895324707,1,35019458,0,0,1,0,0,0,1,1,0,39,0,1,10
63.0169830322266,0,33005990,0,1,1,1,1,1,1,1,0,58,0,1,65
85.810920715332,1,35905012,0,1,1,0,0,0,1,1,0,44,0,0,33
50.1403045654297,0,35045196,0,1,0,0,0,0,0,0,0,63,0,1,48
55.9325942993164,1,35011514,0,0,0,1,0,0,0,0,0,30,0,0,24
71.8405532836914,1,35035993,0,0,0,0,0,0,0,1,0,NA,0,1,NA
46.0210227966309,0,23041404,1,0,1,0,1,NA,0,0,0,38,1,1,67
82.3669509887695,0,23142332,1,0,0,1,1,0,0,1,0,48,0,1,54
69.423225402832,0,35923285,1,0,1,0,0,0,0,0,0,82,0,1,90
64.0913772583008,1,23047860,NA,NA,NA,NA,NA,NA,0,0,0,46,0,1,56
81.9286117553711,1,35012178,NA,NA,NA,NA,NA,NA,0,0,0,27,0,0,29
33.4333381652832,0,23132000,1,0,0,1,1,1,0,0,0,24,0,1,16
41.9601135253906,1,33051330,1,0,0,1,1,0,1,1,1,47,1,1,NA
58.1865539550781,0,35011460,0,0,0,0,1,0,0,1,0,50,0,1,52
63.2993202209473,0,33038724,0,0,0,0,1,0,0,1,0,74,0,1,69
58.0811462402344,0,31068349,0,0,1,0,0,0,0,0,0,62,0,0,20
42.117748260498,1,35012178,NA,NA,NA,NA,NA,NA,0,1,NA,26,1,1,75
63.8677177429199,1,35004492,0,0,0,1,0,0,0,1,1,39,0,1,27
73.8794021606445,1,35923597,0,1,0,0,0,0,0,1,0,32,0,1,79
49.8364562988281,0,17033993,1,1,1,0,0,1,1,1,0,33,1,1,18
35.4635238647461,0,33045496,1,0,1,1,0,0,0,1,0,73,0,1,79
77.5934143066406,0,33039593,0,1,1,1,0,0,0,1,0,68,0,1,41
57.5712203979492,0,23169125,0,0,0,0,0,1,1,1,1,46,1,1,73
47.4151000976562,0,33033170,0,1,1,1,0,1,0,0,0,54,0,1,60
56.4174003601074,1,17025206,0,0,1,0,0,1,0,0,0,24,0,1,52
90.692756652832,1,23072067,1,0,0,0,0,1,0,0,1,60,0,1,71
69.7787094116211,1,35012178,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,1,29
41.664493560791,0,35045421,1,1,1,0,1,1,0,1,0,51,1,1,73
76.6945877075195,0,35008825,1,1,0,0,0,0,0,1,0,73,0,1,37
34.9666328430176,1,33063397,0,1,1,1,1,1,0,1,0,33,0,1,35
62.3659782409668,0,35006567,1,1,1,0,0,0,1,1,0,30,0,0,41
68.4223937988281,1,53008790,0,1,1,0,0,0,0,1,0,60,0,1,10
73.8206176757812,1,33099936,NA,NA,NA,NA,NA,NA,0,1,0,59,0,1,62
57.0556945800781,1,35914757,1,0,0,0,0,1,0,0,0,52,0,0,37
50.0163345336914,1,35011514,1,0,0,0,0,1,0,1,0,25,0,0,29
55.431640625,0,35012191,NA,NA,NA,NA,NA,NA,0,1,1,36,0,1,35
85.7615966796875,1,33053910,1,1,1,0,0,0,0,0,0,71,0,0,50
84.3514633178711,0,53003586,1,0,0,0,1,1,1,1,1,68,0,1,29
53.1747207641602,1,35012233,1,1,1,0,0,0,0,1,0,NA,0,1,NA
53.4977035522461,1,35019434,1,1,1,0,1,0,0,0,1,65,0,1,75
59.5935897827148,1,31068624,1,0,0,1,0,1,0,0,0,55,0,1,60
54.995174407959,0,23024658,1,0,0,0,1,1,0,0,0,50,1,1,67
46.218994140625,0,17005264,1,1,0,0,0,1,1,1,0,29,1,1,29
74.2863922119141,1,35019690,1,1,1,0,0,1,0,1,1,79,0,1,82
28.9749660491943,0,33085498,1,1,0,0,1,1,0,0,0,55,0,1,50
77.6779556274414,1,35008497,1,1,1,0,0,0,0,1,0,49,0,1,58
60.7994575500488,1,33027137,1,1,0,0,0,1,0,0,0,29,0,1,33
65.5531921386719,0,33090149,1,0,0,0,0,1,0,0,0,87,1,1,71
41.5529289245605,0,35001466,1,1,1,1,0,0,1,1,0,55,0,1,67
86.5809097290039,0,35012269,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA
60.0690574645996,1,53002610,1,1,1,0,0,0,1,1,0,48,0,1,NA
67.9190979003906,1,35901805,1,0,0,0,0,0,0,0,0,69,0,1,39
56.559009552002,1,35012233,NA,NA,NA,NA,NA,NA,1,1,0,18,0,1,20
84.9737167358398,0,53007514,1,0,0,0,0,0,0,1,0,54,0,1,31
72.3561248779297,1,35045160,0,0,0,NA,NA,NA,1,1,1,57,1,1,62
85.0335845947266,1,33022003,1,0,0,0,0,1,0,1,0,62,0,1,60
47.6688461303711,1,35002963,1,1,0,0,0,1,0,1,0,43,0,1,NA
48.9469413757324,0,33096694,1,0,0,0,1,1,1,1,1,76,0,1,79
49.2817535400391,1,33004226,NA,NA,NA,NA,NA,NA,0,0,0,32,1,1,50
56.3447074890137,1,23070218,1,0,0,0,1,1,0,1,0,23,0,0,65
61.8447341918945,0,23190884,1,0,0,0,1,1,0,1,0,NA,0,1,67
64.6947402954102,1,17005060,1,1,0,0,0,0,0,1,0,21,0,0,31
65.9187774658203,1,23073411,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
48.2590599060059,0,23100575,1,0,0,1,1,1,0,0,0,53,0,1,86
54.9657936096191,1,35925639,1,0,0,0,0,0,0,1,0,74,0,1,58
49.2591018676758,0,35012269,NA,NA,NA,NA,NA,NA,0,1,1,42,1,0,NA
83.6841125488281,1,23131802,1,0,0,0,1,1,0,1,0,63,0,1,82
75.7249450683594,1,23252294,1,0,0,0,1,1,0,1,0,64,0,0,60
43.7615661621094,0,23140780,1,0,0,1,1,1,0,0,1,52,1,1,58
58.0255737304688,0,17046270,1,1,0,0,1,1,0,1,0,62,1,1,52
40.7719993591309,0,23100133,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA
35.1343841552734,1,53001044,1,1,1,0,0,0,1,1,0,34,0,1,46
41.4801750183105,0,33074186,1,0,0,0,1,1,1,1,0,45,0,0,18
77.6514739990234,1,33038473,1,1,0,0,0,1,1,1,1,73,0,0,18
44.9610290527344,0,35005204,0,0,0,1,0,1,0,1,1,41,0,1,39
84.6823654174805,0,35011666,0,0,0,0,0,0,1,1,0,57,0,1,31
76.9727172851562,1,35008758,0,0,1,0,0,1,0,1,0,48,0,1,62
60.2791519165039,1,33042543,0,1,0,1,1,0,1,1,0,91,0,1,16
50.2527503967285,0,53007492,0,1,1,0,0,0,0,0,0,73,0,1,46
53.9361610412598,1,35012300,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,1,8
54.1634559631348,0,17018390,1,1,1,1,0,1,0,1,0,28,0,0,35
66.3211441040039,1,17014727,1,1,1,0,0,0,1,1,0,61,0,0,3
64.4341354370117,1,53002598,1,0,0,1,0,0,0,1,0,53,0,0,12
73.5480499267578,0,35006567,1,1,0,0,0,0,0,1,0,54,0,1,52
75.0292587280273,0,33079374,1,0,0,0,0,NA,0,0,0,47,0,0,18
62.8548164367676,0,53007492,1,1,1,0,0,0,0,1,0,51,0,1,52
69.5488357543945,0,33014760,1,1,1,0,0,0,1,1,0,26,0,0,58
36.6946868896484,1,33106630,1,0,1,1,0,1,0,1,0,55,0,1,90
51.195915222168,0,33086613,1,1,1,1,0,0,0,0,0,71,0,0,27
39.2393684387207,0,33106681,1,0,0,0,0,0,0,1,0,24,0,0,NA
61.3661270141602,0,35012026,NA,NA,NA,NA,NA,NA,0,1,0,29,0,1,31
48.3916931152344,0,53019806,1,1,1,1,0,0,0,0,0,55,0,1,31
65.7205429077148,1,35010686,1,0,0,0,0,0,0,0,1,25,0,1,27
41.2239074707031,0,35012348,1,1,0,0,1,0,0,0,0,50,0,1,69
46.9539108276367,1,35012300,NA,NA,NA,NA,NA,NA,0,1,0,19,0,0,NA
56.7897338867188,0,33028109,1,1,0,0,0,0,0,1,0,37,0,1,27
38.1082153320312,0,33058741,1,0,0,1,1,NA,0,1,0,59,0,1,77
58.4646377563477,0,23169413,1,1,1,0,0,0,0,1,0,55,0,0,50
52.9525299072266,1,17034027,1,0,0,0,1,1,1,1,0,54,0,1,69
41.7743721008301,0,23163402,1,1,1,0,1,0,0,0,0,32,0,1,86
43.8867988586426,0,33018340,1,0,0,0,1,0,0,1,0,53,0,0,39
55.3527297973633,1,35011782,1,0,1,0,0,0,1,1,0,30,0,0,3
80.8208160400391,1,33018910,1,0,1,0,1,1,1,1,0,57,0,1,69
59.9806747436523,1,17004950,1,0,0,0,0,1,1,1,0,49,0,1,14
59.3751487731934,0,33008841,1,0,0,0,0,1,0,0,1,46,0,1,77
67.820198059082,0,35924465,1,0,0,0,0,1,1,1,0,56,0,0,29
63.4848976135254,1,33097046,0,0,1,0,0,1,0,0,0,23,0,1,29
34.833309173584,0,33058180,1,0,0,1,0,1,0,1,0,20,0,0,29
50.8991508483887,1,35911331,1,1,1,1,1,1,1,1,0,45,1,1,52
64.088020324707,0,35006567,1,0,0,0,0,0,0,1,0,64,0,0,39
61.6863059997559,1,35012324,NA,NA,NA,NA,NA,NA,1,1,1,53,0,1,50
72.327751159668,0,35009003,1,0,0,0,0,0,0,0,0,45,0,1,-11
56.2951202392578,0,35012348,1,0,0,0,0,0,0,0,0,18,0,0,29
44.812572479248,1,33040150,1,1,0,0,0,0,1,1,0,52,0,0,NA
66.3500442504883,1,35011587,1,1,1,0,0,0,1,1,1,75,0,0,14
64.4948043823242,0,35019409,1,1,1,0,0,0,0,0,1,43,1,1,50
61.2920684814453,0,33106711,1,1,1,0,0,0,0,1,1,72,0,1,88
70.0210952758789,0,33075174,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
73.3420715332031,0,33048517,1,1,0,0,1,1,0,0,0,60,0,1,37
54.4016036987305,0,35042171,1,0,0,0,0,1,0,0,1,47,0,0,60
59.9087982177734,0,33090149,1,0,0,0,0,0,1,1,0,63,0,1,73
94.8810195922852,1,33052069,1,0,0,0,1,1,0,1,0,68,0,0,65
70.4114608764648,1,23047895,1,1,1,0,0,0,1,1,1,49,1,1,54
58.2577362060547,1,35002914,1,0,0,0,0,1,0,1,0,37,0,1,58
64.8267593383789,1,35041634,NA,NA,NA,NA,NA,NA,0,1,0,26,0,1,48
43.4524116516113,0,33048517,1,1,0,0,0,1,0,0,0,42,0,1,27
48.7488250732422,1,53007387,1,0,0,1,1,0,0,0,0,61,0,1,88
37.0108489990234,0,35049220,0,0,0,0,0,1,1,1,0,22,0,1,18
32.169361114502,1,33069921,1,0,1,1,0,1,1,1,0,60,0,1,69
85.6663055419922,0,35002926,NA,NA,NA,NA,NA,NA,0,0,0,68,0,0,75
57.5160331726074,1,33026904,1,0,0,1,1,1,1,1,0,41,1,1,52
64.2258834838867,1,33002614,0,0,1,0,1,0,0,1,0,22,0,0,18
50.3563690185547,0,35012348,NA,NA,NA,NA,NA,NA,0,0,NA,26,0,NA,NA
73.1185455322266,0,35924465,1,0,0,0,0,1,1,1,0,37,0,0,5
58.6597061157227,1,33017093,NA,NA,NA,NA,NA,NA,0,1,0,39,0,0,31
80.3052139282227,1,33104344,1,0,1,0,0,1,0,0,0,47,0,0,33
57.2498664855957,0,35921725,1,0,0,0,0,0,0,1,0,36,0,1,41
56.5730400085449,0,17019176,0,0,0,1,1,1,1,1,0,76,0,1,86
74.1556091308594,0,23188545,0,1,1,0,0,1,1,1,0,61,0,1,NA
64.0662612915039,1,23036010,0,1,1,0,0,0,1,0,1,NA,0,1,46
75.693244934082,0,35012348,NA,NA,NA,NA,NA,NA,1,1,0,50,0,1,48
49.2158164978027,0,23077387,0,1,0,1,1,1,0,0,0,42,0,1,18
64.8889465332031,1,23264063,0,0,0,NA,1,NA,1,0,0,NA,0,1,NA
58.2297477722168,0,33033170,0,0,0,1,0,NA,1,1,0,66,0,1,50
82.4870834350586,0,23255528,0,0,0,0,1,1,0,1,0,18,0,1,65
40.3952980041504,1,33040150,NA,NA,NA,NA,NA,NA,0,1,0,19,0,1,56
38.6648712158203,0,33032360,0,1,1,1,0,1,0,1,0,45,0,0,1
45.7453308105469,0,33099189,0,1,1,0,1,0,0,0,1,12,0,1,20
52.8996124267578,0,35924003,1,0,0,0,0,1,0,0,0,49,0,1,54
54.939208984375,1,35917758,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
47.7047386169434,0,23072374,NA,NA,NA,NA,NA,NA,0,0,0,-1,0,1,54
52.7614212036133,1,17000386,1,0,0,1,0,1,1,0,0,42,0,1,NA
54.7380142211914,1,35012359,NA,NA,NA,NA,NA,NA,1,1,0,22,0,1,60
43.6093559265137,0,23265876,1,1,0,1,1,1,1,1,1,51,0,1,48
53.6771965026855,1,23068566,1,0,NA,0,1,1,1,1,1,67,1,1,79
49.7737159729004,1,33014086,1,0,0,1,1,1,0,0,0,19,0,1,NA
29.7504825592041,1,33025100,1,1,1,1,0,0,0,0,0,51,0,0,24
61.1213836669922,0,35008825,1,1,1,0,0,0,0,1,0,23,0,1,54
85.9655456542969,0,53014812,1,1,1,0,0,0,0,0,0,50,0,0,37
58.4185981750488,1,17000386,1,0,0,1,1,1,0,0,0,59,0,0,27
45.2767066955566,1,35012359,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,1,NA
65.3641204833984,1,35019823,1,0,0,0,0,0,1,1,0,24,0,1,52
66.8775787353516,0,35008667,1,1,1,0,0,0,1,1,0,58,0,1,41
70.8873138427734,1,23070820,1,1,1,0,1,1,0,1,0,46,1,1,20
66.6866989135742,1,35005307,1,0,1,0,0,0,0,0,0,61,0,1,58
52.1542701721191,0,33132879,1,0,0,0,0,0,0,1,0,35,0,0,58
68.9667892456055,1,33110220,1,0,1,1,0,0,1,1,0,43,0,1,37
77.4220428466797,0,23188545,1,1,1,0,0,1,0,0,0,36,0,1,29
32.8988571166992,0,35012129,1,1,0,0,1,0,0,0,NA,39,1,0,73
58.1913604736328,0,33008892,1,1,1,0,0,1,0,1,0,59,0,0,33
54.9648246765137,0,35901404,1,1,1,0,0,1,0,1,1,38,1,1,69
56.7466583251953,0,33039569,1,0,0,0,1,1,0,0,0,51,0,0,29
56.9718704223633,0,35012221,1,0,0,1,0,0,0,0,0,63,0,1,46
64.5686187744141,1,23065842,1,1,0,1,0,1,0,0,0,28,0,1,39
39.4426307678223,0,33017000,0,0,0,0,0,0,0,0,0,NA,0,1,77
33.7745742797852,1,35907352,1,1,0,1,0,0,1,1,0,39,1,1,43
81.2779159545898,1,35925639,1,1,1,0,0,0,1,1,0,17,0,0,-3
51.8716125488281,1,35046760,1,0,0,0,1,1,0,0,0,42,0,1,37
57.9620590209961,1,17021685,0,1,0,0,0,1,1,1,0,42,0,1,48
50.2338180541992,0,53014316,1,0,1,0,1,1,1,1,1,55,0,1,58
68.823974609375,1,33099243,1,0,0,0,0,0,0,1,0,47,0,0,54
67.9245529174805,1,53003578,0,1,1,1,0,0,0,1,0,60,1,1,69
66.5054626464844,1,35013821,NA,NA,NA,NA,NA,NA,0,1,0,18,0,1,-18
54.4166603088379,0,33094098,1,0,0,0,1,1,0,0,0,48,0,1,50
80.5869827270508,1,33013535,1,1,0,0,1,1,0,1,0,38,0,1,54
