"outcome","treatment","X1","X2","X3","X4","X5","X6","X7","X8","X9"
1,0,-1.39,0.63,1.85,-0.45,0.9,1,1,0,0
0,0,-0.05,0.87,1.54,0.01,-2.67,1,0,0,0
0,1,-0.96,1.06,-0.92,-0.77,-1.2,1,0,1,1
0,0,0.69,-1.21,0.46,0.01,-0.78,1,0,1,1
0,0,1.07,0.6,1.53,1.19,-1.58,0,0,1,1
1,0,-0.42,-1.08,-0.66,0.9,-0.96,0,1,1,1
1,1,-0.46,0.01,-1,0.4,-0.41,1,0,0,1
0,1,-1.56,-3.44,0.84,0.63,-1.53,0,0,1,1
1,1,1.3,0.7,2.06,-1.15,0.05,0,1,1,0
1,1,0.29,0.03,-0.96,-1.47,-1.1,0,0,0,0
1,1,0.23,0.9,-2.3,0.19,0.88,0,0,1,1
1,1,2.39,-0.73,0.96,0.71,2.17,0,0,1,1
1,0,2.54,0.08,0.74,1.11,-0.99,0,0,1,1
1,1,1.3,0.35,-0.62,-1.64,-0.39,1,0,1,0
1,0,0.2,0.09,-0.56,-0.65,2.73,0,1,0,0
0,1,0.97,-0.41,-0.37,-0.89,-0.42,0,1,1,0
1,0,1.22,0.12,1.08,-0.68,-1.07,0,1,1,1
1,1,-0.7,1.85,0.03,-1.16,-0.28,1,1,1,1
1,0,-3.01,0.52,-1.1,-0.93,-0.47,1,1,0,1
0,0,-2,-0.58,-0.61,0.47,0.04,0,1,0,0
1,0,0.92,-0.37,-1.1,-0.12,1.75,1,1,1,0
1,1,-0.38,0.25,0.41,1.35,0.72,0,1,1,0
1,1,-0.22,1.06,0.46,-0.7,-0.23,1,0,0,0
1,1,0.15,0.27,-0.5,-1.84,-1,1,1,1,1
1,1,0.04,-1.27,-0.3,0.44,2.11,1,1,0,0
1,1,0.8,0.63,1.84,-0.49,0.15,0,0,0,0
1,1,-1.83,0.87,0.25,-1.4,0.58,0,0,1,0
1,1,-1.1,1.12,1.59,0.31,-0.05,0,0,0,0
1,0,-1.46,-0.7,-0.71,0.42,0.06,1,0,1,0
1,1,1.88,1.14,0.53,0.02,0.13,1,0,0,0
1,0,-1.53,0.18,-0.79,-0.65,0.4,1,0,1,1
0,0,0.39,-0.84,-0.14,-0.63,-1.1,1,0,0,0
1,1,-0.49,2.79,0.32,0,-1.16,1,1,1,1
1,1,0.53,-1.03,1.72,0.42,1.45,1,1,0,1
1,1,0.85,-0.33,-0.65,1.89,0.57,0,0,0,0
0,1,0.34,2.59,-1.22,0.2,0.2,0,1,0,1
1,1,2.37,-2.23,-0.77,1.08,-0.77,1,1,1,1
1,1,1.48,0.19,0.41,0.64,0.08,1,1,1,0
1,0,-1.28,-0.68,-1.05,-0.23,1.2,1,1,1,0
0,0,0.83,-1.54,1.31,0.63,-1.25,0,1,0,0
0,0,0.45,-1.28,0.58,0.09,-1.81,0,0,1,0
1,1,0.24,-0.79,-0.53,-1.05,0.69,0,1,1,0
1,1,1.35,-0.3,0.28,-1.27,0.41,1,0,0,1
0,1,0.79,-0.76,0.85,0.27,1.14,0,0,1,0
1,0,-0.17,-1.46,0.99,-0.17,0.86,0,0,0,0
1,0,1.3,-0.07,-0.03,-1.06,0.88,1,1,0,0
1,1,1.05,0.97,0.77,0.04,-0.67,1,1,0,0
1,0,0.35,0.74,-0.62,-0.01,0.57,1,0,0,0
0,0,1.2,-1.31,0.31,0.2,-1.55,1,0,0,1
1,0,0.75,-2.63,0.98,-0.46,0.4,1,0,1,0
0,0,0.7,-0.87,-0.1,-1.95,0.54,0,1,1,0
0,0,-0.87,-0.6,-1.36,0.77,-0.57,1,1,0,0
1,0,-0.18,-0.28,-0.31,-0.54,0.11,1,0,1,0
1,0,-1.52,0.02,-0.51,0.25,1.63,0,0,1,0
0,0,-0.81,0.32,0.16,0.42,-0.32,1,0,0,0
1,0,0.17,0.8,0.21,-0.92,0.1,0,0,0,1
0,1,0.98,0,-0.05,-0.45,-0.36,0,0,0,0
1,1,1.13,0.26,1.47,2.41,-0.18,1,1,0,1
1,0,-0.7,-0.92,-1.92,-1.61,0.2,0,1,0,0
1,1,-1.59,1.97,-1.2,0.55,0.21,0,1,1,0
1,0,0.29,-0.1,0.26,1.5,0.83,1,1,0,1
0,1,0.19,0.38,-0.86,-1.43,-0.48,0,0,0,1
1,0,1.22,-1.65,0.27,0.15,0.09,0,1,0,0
1,1,1.62,-0.3,-0.09,-1.01,-0.91,0,1,0,0
1,0,-0.3,-1.95,1.58,0.85,2.12,1,0,1,0
1,0,-2.73,-0.64,-1.76,0.21,0.21,1,0,0,0
1,1,-0.35,0.84,0.92,0.45,-0.16,0,1,0,1
0,0,-2.45,-0.65,0.34,-1.85,0.5,1,0,1,0
1,0,-0.38,-0.94,-0.11,-1.48,0.27,0,0,0,1
1,0,-1.91,0.78,-0.38,-0.3,-1.04,0,1,0,0
1,1,-0.55,0.51,-0.27,-0.16,-0.2,1,1,0,0
1,0,-0.28,0.3,0.86,0.38,0.72,0,0,0,0
1,0,-1.06,-0.41,-1.05,-0.66,-2.21,0,0,0,0
0,0,-0.74,-1.98,0.22,0.61,-0.46,0,1,0,1
1,0,-0.73,-0.99,0.17,0.25,2.08,0,1,0,1
1,1,-0.24,0.21,-0.06,1.68,0.36,0,1,1,1
1,0,-1.34,0.35,0.48,2.13,0.52,0,1,1,1
1,1,-1.55,1.2,-0.56,-0.38,2.89,1,1,0,1
1,1,0.8,1.74,-0.76,-0.08,-2.08,1,1,1,0
1,0,-1.03,1.74,1.29,0.69,0.36,1,1,1,0
1,0,-0.42,0.03,0.01,1.19,-1.21,1,1,0,0
1,1,0.26,-0.57,-0.02,-1.25,-0.83,0,1,0,1
1,1,-0.73,-0.33,0.2,0.46,0.67,0,0,1,1
1,0,-1.15,1.64,0.39,1.19,-0.34,0,0,1,1
1,1,2.09,-1.04,0.05,0,-1.69,1,1,0,0
1,1,-0.04,0.73,0.15,0.57,-2.48,0,0,0,1
1,1,0.92,1.7,0.11,-2.04,0.07,1,1,0,0
1,0,-0.97,-0.08,-0.43,2.73,0.33,0,0,1,1
0,0,-0.18,0.2,-0.55,0.33,1.21,1,1,0,1
1,1,-0.63,-0.38,0.36,-0.01,-1.11,1,1,0,0
1,0,-1.13,0.68,-1.14,1.58,-0.83,0,1,1,1
1,1,-0.48,1.79,-0.3,0.34,0.15,1,1,1,0
1,0,-0.15,0.96,0.96,-1.55,0.03,1,1,1,0
1,1,-1.86,3.21,1.55,-0.76,0.41,0,0,1,0
0,0,-1.18,-0.48,0.45,-0.08,-0.59,0,1,1,1
1,1,-0.59,-0.49,-0.28,-0.58,-1,0,1,1,1
1,1,0.33,0.56,0.96,-0.37,0.82,1,1,0,1
0,1,0.14,3.05,0.37,2.01,0.82,1,0,1,0
1,0,1.08,-0.84,0.52,0.89,-0.35,0,1,1,0
0,0,-0.61,-1.45,0.9,-1.46,-1.99,0,0,1,1
1,0,0.05,0.74,0.01,0.02,-0.7,1,0,1,1
1,0,0.21,-0.04,0.92,1.07,-1.23,0,1,1,1
0,1,-0.14,0.8,1.27,0.29,-0.36,1,1,1,1
1,1,-0.78,1.38,0.42,1.04,0.28,0,0,1,1
1,1,1.02,0.35,0.15,-1.68,0.58,1,1,1,1
1,0,-0.66,0.85,-0.44,1.02,1.49,1,0,0,1
1,1,0.66,1.95,-0.84,0.8,-0.21,0,0,1,0
1,0,0.48,0.4,-0.57,-2.24,0.42,0,0,1,1
1,1,1.19,0.7,0.18,-1.58,-0.19,1,1,0,0
0,0,0.91,-0.91,0.62,0.65,1.19,0,1,0,0
1,1,0.71,-0.58,-0.13,1.57,-1.39,0,0,1,1
1,0,-0.19,1.73,-0.89,-1.57,0.6,0,1,1,0
0,1,-0.02,-0.17,-1.01,1.83,0.11,1,1,0,0
0,0,-0.48,-1.13,-0.67,0.35,-0.08,1,0,1,1
1,0,-0.63,-0.13,-0.47,-0.5,0.66,0,1,1,0
0,0,-0.75,-0.8,0.92,1.34,1.16,1,1,1,0
1,1,-0.56,0.4,-0.24,0.38,-1.28,1,1,1,0
1,1,1.75,-1.7,0.17,-0.29,0.17,1,0,0,1
1,1,0.26,-0.05,0.09,-1.74,-0.66,0,1,1,0
1,1,1.05,-1.31,-0.29,0.6,-1.69,1,0,1,0
1,0,-1.12,-1.01,1.72,2.07,1,0,0,0,1
1,0,0.25,-2.06,-2.78,-0.32,-0.88,1,0,1,0
0,1,1.08,-0.08,0.71,-0.85,-1.59,1,0,1,1
1,1,0.35,1.86,1.38,0.66,0,1,0,1,0
1,0,0.61,-0.11,-1.19,1.03,1.3,1,1,1,1
1,0,0.52,-0.81,1.55,0.9,0.12,1,0,0,1
1,0,-0.62,-0.06,0.36,-2.47,0.85,0,1,1,1
1,1,0.52,0.17,-0.81,-1.75,0.22,0,1,0,0
1,0,0.98,0.55,1.19,1,0.14,1,1,0,0
1,1,0.19,0.4,-0.38,-0.56,1.37,0,1,1,1
0,0,-0.54,-1.32,-1.05,0.14,-1.08,1,1,1,0
1,0,0.44,-0.75,-0.92,-1.06,-0.01,0,0,1,0
0,1,-0.2,1.12,0.06,1.68,0.79,1,1,1,0
1,1,0.64,-0.99,0.41,0.21,0.71,0,0,1,1
0,1,0.73,0.82,-1.61,-0.48,0.51,1,1,0,0
1,0,-0.36,-1.16,-0.42,-0.48,0.17,1,1,1,0
1,1,0.46,0.86,-1.03,-1.84,-0.87,1,1,1,1
1,1,2.28,-1.2,-1.14,-1.03,-1.45,1,0,0,0
0,0,-1.42,-0.79,-0.47,2.42,1.21,0,0,1,1
1,0,-0.05,-1.57,-0.48,0.58,0.3,1,0,0,1
1,1,-0.03,-0.02,-0.08,0.59,0.62,1,0,0,0
1,1,-0.16,2.03,1.03,-2.55,0.21,0,0,1,1
1,0,0.44,-0.78,-1.72,-0.17,-1.26,0,0,1,0
1,0,-0.06,-1.08,0.62,1.27,0.88,1,0,0,0
1,1,0.24,0.06,0.27,-1.45,0.07,1,1,1,0
1,1,1.71,0.7,1.31,1.4,-0.13,1,0,0,1
1,0,-1.45,-0.76,-0.5,-0.46,0.06,0,1,0,1
0,1,0.19,0.42,-0.18,1.08,-0.61,0,0,0,0
1,1,1.55,0.11,1.57,-1.24,-0.6,0,0,1,1
1,0,-2.44,1.33,-1.24,0.12,-0.24,0,0,1,0
1,1,0.16,0.86,0.56,-0.63,1.28,1,0,0,0
1,0,-1.07,-1.15,-0.14,0.7,0.78,1,1,1,1
0,1,-0.05,1.23,1.94,-0.08,-1.51,0,0,1,0
1,1,1.14,1.34,-0.7,0.09,-1,1,1,0,1
1,0,-0.89,-1.04,-0.46,0.99,-1,1,0,1,0
1,0,0.77,0.58,-1.29,-1.38,-0.26,1,1,1,1
1,0,0.26,0.01,-0.15,0.93,1.54,1,1,1,0
1,0,1.03,-1.37,-0.86,0.08,-0.4,1,0,0,0
1,0,-0.8,-1.44,0.16,0.67,0,1,0,0,1
1,0,0.21,-0.82,-0.12,-1.34,-0.37,1,1,0,0
0,0,2.21,-0.92,0.26,-0.56,-0.49,0,0,1,1
1,0,-0.09,-0.08,-0.4,0.75,-0.46,1,0,1,0
1,1,2.8,1.07,-0.46,-0.63,-1.81,1,0,0,1
1,0,-0.67,-0.77,0.41,1.02,-0.86,1,1,1,1
1,0,-0.56,-0.61,1.27,0.34,1.52,1,1,0,0
1,0,-0.06,0.03,0.4,-0.44,-0.21,1,1,1,0
1,0,-0.86,0.33,0.01,0.3,-1.85,1,1,1,0
0,0,-1.11,-1.12,-1.28,0.09,0.12,1,0,1,0
1,1,-0.17,0.82,-0.79,-0.66,-0.65,1,0,1,0
1,0,0.86,-0.64,-1.49,0.63,0.28,1,0,0,0
1,1,1.24,0.23,0.79,0.84,-1.65,0,1,0,0
0,0,-0.81,-0.01,-0.69,-0.34,0.04,0,0,1,0
1,0,-0.68,0.55,1.31,-0.65,-2.01,1,1,1,0
1,1,1.35,-0.77,0.06,0.29,-0.54,1,0,0,1
0,0,-1.48,0.43,0.32,0.15,0.6,0,0,0,0
1,1,0.86,0.93,-1.17,-1.04,0.56,0,0,1,0
0,1,-0.03,0.32,-0.37,0.07,-0.49,1,1,1,0
1,0,-1.71,1.24,0.21,-1.06,-0.53,0,0,1,0
1,0,-0.38,-0.54,0.85,-2.03,-0.36,0,0,0,0
1,1,1.04,1.07,-0.72,-0.92,1.09,0,0,0,1
0,0,-0.88,-1.76,-1.89,-0.73,0.74,0,1,1,0
1,0,0.93,-1.93,-0.51,-1.04,0.89,0,1,0,0
0,0,-3.01,-0.35,-0.18,1.72,0.19,1,0,1,0
1,1,-0.13,0.22,-0.56,-0.5,-0.23,1,1,0,1
1,0,1.21,0.72,0.37,-0.72,0.41,0,0,0,1
1,1,0.8,-0.27,-2.13,1.43,-1.17,0,1,1,0
1,1,0.34,-0.02,-0.88,0.34,-0.72,0,0,1,1
0,0,-0.41,-2.41,1.07,1.35,-1.46,0,1,1,1
0,0,-1.79,-0.12,1.73,-0.54,0.19,0,1,0,1
0,1,-1.18,0.56,1.86,1.22,0.17,1,1,1,0
1,1,0.65,0,-1.29,-0.96,-1.46,0,0,1,0
1,1,-0.21,0.36,-0.13,2.29,0.23,0,1,1,1
1,1,1.26,0.44,0.5,-0.32,0.94,0,1,0,1
1,0,-0.09,-0.55,0.09,0.7,2.18,1,1,0,0
1,0,-0.59,-1.48,-0.9,-0.76,-0.03,0,0,0,0
1,0,0.45,-0.98,-3.15,-0.76,-0.27,0,0,1,1
1,0,-1.31,-0.92,0.1,-0.53,0.19,1,0,1,0
0,0,-0.37,-0.7,0.52,0.87,1.73,0,0,0,1
1,0,-0.53,0.91,-0.33,-0.22,0.74,0,0,1,1
1,0,-1.56,0.11,-0.43,0.43,-0.97,1,0,1,0
1,1,-0.42,1.12,-0.8,-1.11,-0.12,0,0,0,1
1,1,1.22,1.27,0.44,-1.92,0.5,1,0,1,1
0,0,0.27,0.42,0.49,-2.21,0.52,1,0,0,1
0,0,-2.21,0.34,-0.03,0.78,-0.35,1,0,0,1
1,1,-0.11,-0.46,-1.45,-0.48,0.1,0,1,1,0
0,0,0.08,-0.76,-1.21,-0.13,-0.17,0,1,0,0
1,0,-1.06,0.02,0.07,-0.22,0.01,0,1,0,0
0,1,-0.18,0.58,-0.07,-0.81,-1.2,1,1,0,1
1,0,-0.62,-1.54,-0.68,1.12,0.14,1,0,0,0
1,0,0.51,-1.13,-0.42,1.49,0.86,0,1,1,0
1,1,-0.03,0.64,-0.35,1.95,1.35,1,1,1,1
0,1,-0.04,0.17,0.72,-2.66,0.2,0,1,1,0
1,0,1.07,0.79,-0.2,-0.62,-0.82,1,0,1,1
1,0,-0.52,-0.15,-1.51,-0.63,0.47,1,0,1,0
1,1,1,1.37,1.07,0.11,-0.05,1,1,0,0
1,1,1.29,0.25,0.63,-0.81,0.11,0,1,0,0
1,0,-0.84,0.4,-0.5,0.34,-1.46,1,1,1,1
0,0,-1.12,-0.76,-2.85,3.15,0.76,1,1,0,0
1,1,0.31,1.75,1.65,-0.25,-1.01,1,1,0,0
1,1,1.15,1.24,-1.01,2.59,1.25,0,0,0,0
1,0,-0.52,0.21,0.35,0.94,-0.6,1,0,0,1
0,0,-0.24,0.18,0.17,-0.76,0.44,0,1,0,1
0,1,-1.06,1.29,-0.04,0.94,-0.51,1,0,0,0
1,1,1.26,2.14,-0.18,-1.35,1.7,1,0,0,0
1,0,-0.08,-1.62,-1.23,-0.09,-0.08,0,1,1,1
1,0,-0.15,-1.11,-0.54,-0.7,-0.66,0,1,1,0
1,0,-0.57,0.15,-0.66,0.09,-1.31,1,0,1,1
1,1,-0.59,1.26,-0.29,-1.36,0.13,0,1,1,0
1,1,1.08,0.13,1.75,-0.11,0.94,1,1,1,0
1,0,0.14,-2.07,-0.34,-0.47,-0.6,1,0,1,0
1,1,1.55,-1.49,-0.22,1.43,0.13,1,1,1,0
1,1,-0.92,-0.42,1.12,1.07,1,0,1,1,0
0,0,0.8,-0.41,-0.67,-0.51,-1.99,0,0,0,0
0,1,-0.26,1.07,1.55,-0.34,-0.35,0,0,1,0
0,0,0.49,0.02,1.12,0.95,1.33,1,1,1,0
0,0,-1.78,1.07,0.44,1.27,0,1,1,1,1
0,0,1.23,-0.7,0.72,0.59,1.01,1,1,0,1
1,1,-0.13,0.68,-0.22,-0.88,2.19,1,1,1,0
1,1,1.87,0.27,1.56,0.48,-0.54,0,1,1,0
1,0,-0.56,-1.23,-0.41,-1.17,-1.14,1,0,0,0
0,1,1.24,0.65,-0.04,-0.03,1.17,0,0,1,0
1,1,1.42,0.67,0.64,0.92,0.14,1,0,1,1
1,1,3.45,0.71,0.89,-1.59,0.99,1,1,0,0
0,1,0.25,2.58,-1.14,0.88,-0.64,1,1,1,0
